-0.1,0.15
0.08,0.2
0.12,1.65
0.14,1.66
0.22,2.65
0.24,3.04
0.3,4.96
0.32,5.31
0.36,6.17
0.38,8.05
0.46,9.86
0.02,0.15
0.12,1.24
0.16,1.23
0.18,1.68
0.22,3.4
0.26,3.33
0.28,4.45
0.34,6.57
0.36,6.47
0.38,8.3
0.42,8.26
0.44,8.22
0.46,9.86
0.54,10.77
0.58,10.71
0.6,11.46
0.66,11.4
0.72,12.27
0.76,12.2
0.78,12.27
