-0.99,0.15
-0.56,0.16
-0.55,0.15
-0.54,0.16
-0.99,0.15
-0.73,5.0
-0.72,0.15
-0.57,0.16
-0.55,0.15
-0.54,0.16
-0.48,0.15
-0.42,0.16
-0.41,0.15
-0.4,0.16
-0.39,0.17
-0.38,0.18
-0.35,0.19
-0.31,0.2
-0.3,0.21
-0.29,0.22
-0.28,0.23
-0.27,0.25
-0.25,0.27
-0.23,0.29
-0.22,0.31
-0.19,0.32
-0.18,0.34
-0.17,0.35
-0.16,0.36
-0.15,0.38
-0.13,0.37
-0.11,0.4
-0.08,0.41
-0.07,0.44
-0.06,0.46
-0.05,0.48
-0.03,0.5
-0.02,0.51
0.0,0.53
0.01,0.56
0.03,0.57
0.04,0.63
0.05,0.65
0.06,0.67
0.07,0.72
0.08,0.77
0.09,0.86
0.1,0.91
0.11,0.95
0.12,0.99
0.13,1.0
0.14,1.04
0.15,1.1
0.16,1.09
0.17,1.18
0.18,1.23
0.19,1.25
0.2,1.32
0.21,1.4
0.22,1.48
0.23,1.5
0.24,1.53
0.25,1.59
0.26,1.63
0.27,1.67
0.28,1.75
0.29,1.8
0.3,1.81
0.31,1.87
0.32,1.85
0.33,2.01
0.34,2.06
0.37,2.32
0.38,2.46
0.39,2.51
0.4,2.63
0.41,2.73
0.42,2.82
0.43,2.94
0.44,2.97
0.45,3.03
0.46,3.06
0.47,3.17
0.49,3.34
0.5,3.41
0.51,3.56
0.52,3.58
0.53,3.65
0.55,3.87
0.56,4.05
0.57,4.09
0.58,4.16
0.59,4.25
0.6,4.36
0.61,4.4
0.62,4.5
0.63,4.59
0.64,4.69
0.65,4.96
0.66,5.02
0.67,5.04
0.68,5.17
0.69,5.26
0.7,5.39
0.71,5.42
0.72,5.71
0.73,5.83
0.74,5.92
0.75,6.08
0.76,6.17
0.77,6.27
0.78,6.37
0.79,6.71
0.8,6.75
0.81,6.78
0.82,6.82
0.84,7.11
0.85,7.14
0.86,7.56
0.87,7.64
0.88,7.8
0.89,7.93
0.9,7.88
0.91,7.93
0.92,8.18
0.93,8.22
0.95,8.26
0.97,8.18
0.98,8.26
